i,instrumented,naive,procavg,vmavg,proc0,proc1,proc2,proc3,proc4,vm0,vm1,vm2,vm3,vm4
0,270,9136,94908.4,259174.4,89894,102646,102527,89779,89696,259072,240704,256576,261184,278336
1,270,9138,65873.2,250675.2,74539,53422,53410,73889,74106,245248,254400,251968,257024,244736
2,270,9136,57439,282675.2,58681,55981,56161,58048,58324,230272,223232,259776,266048,434048
3,270,9136,55719.6,235033.6,58194,52337,52527,57657,57883,223040,234048,242816,244992,230272
4,270,9136,48872,256320,51477,44955,45241,51347,51340,271104,260928,259776,242944,246848
5,270,9136,43999.6,250547.2,42254,46343,46809,42236,42356,249088,246656,258432,246336,252224
6,270,9136,48538.4,240588.8,50677,45569,45811,50379,50256,239424,231360,253824,239232,239104
7,270,9136,47580,297216,46402,49313,49337,46533,46315,515648,239168,244800,244992,241472
8,270,9136,48267.6,316582.4,44647,53907,54069,44302,44413,616448,229760,252032,247680,236992
9,270,9136,48351,350233.6,43195,56047,56249,43170,43094,823424,223872,244864,225408,233600
10,270,9136,44523.8,282649.6,40671,50167,50633,40624,40524,474176,223552,240320,242112,233088
11,270,9136,48463.8,242470.4,47440,49933,50216,47457,47273,233600,259072,214976,254144,250560
12,270,9136,44776.8,238016,39998,52398,51915,39944,39629,236544,233024,238784,244352,237376
13,270,9136,47667.4,234854.4,48376,46642,47089,48023,48207,227520,221696,255808,240768,228480
14,270,9136,45262,229401.6,47891,41693,41962,47351,47413,221760,217088,245376,235072,227712
15,270,9136,39731.4,224345.6,43795,33554,33908,43698,43702,216960,217920,237824,234368,214656
16,270,9136,48291,214425.6,49984,45950,46148,49728,49645,209216,205824,222016,226112,208960
17,270,9136,53541.8,218073.6,63157,40154,39411,62406,62581,235456,196992,224448,223168,210304
18,270,9136,45134.4,213248,53438,32576,33161,53001,53496,210048,202496,224448,221248,208000
